Asin,UserName,Rating,Subject,ReviewDate,Review
B08122HHX9,Michelle,1.0 out of 5 stars,Had to return,"Reviewed in the United States on September 25, 2020",The camera on the computer didnt work. I have to return it. :(
B08122HHX9,jwala vijayan,5.0 out of 5 stars,Great laptop!!,"Reviewed in the United States on November 6, 2020",Great quality product! Came in original packaging. Seller delivered promptly. Will buy again. Recommend product and seller!!
B08122HHX9,Steven S.,5.0 out of 5 stars,Long term quality,"Reviewed in the United States on September 2, 2020",Amazing machine the last yoga I had lasted 9 years and it's still working just wanted to upgrade.
B08122HHX9,Gabriel,5.0 out of 5 stars,Perfect,"Reviewed in the United States on October 1, 2020","Display, keyboard, speakers, and build quality is top tier. The speed is unimaginable."
B08122HHX9,Russell Tingley,5.0 out of 5 stars,Greatest machine I have ever had!,"Reviewed in the United States on October 31, 2020",Greatest machine I have ever had!
B08122HHX9,Rehab Kamel,5.0 out of 5 stars,Good,"Reviewed in the United States on October 12, 2020",Good
B08122HHX9,Hayssam Hasbini,5.0 out of 5 stars,Excellent laptop and tablet,"Reviewed in the United States on October 28, 2020",Very good value for money..
B08122HHX9,Pablo Guatti,5.0 out of 5 stars,Excelente producto,"Reviewed in the United States on September 13, 2020",Excelente producto
B08122HHX9,Daniel Gontar,5.0 out of 5 stars,Excellent,"Reviewed in the United States on March 25, 2020","I purchased this computer around December of 2019 (not from amazon, but from Bestbuy). It has been excellent overall. I am most impressed by its memory capacity and its speed. The keyboard is very good also and allows very fast typing. The touchscreen works well, although I don't have much use for that. One drawback for me is that it didn't come with MS Word, although some sources (Bestbuy possibly) may give you this option with an extra payment. So I downloaded OpenOffice and LibreOffice. One thing which is also missing is an HDMI port, so I bought two converters, one converting from HDMI to USB C, and another for HDMI to USB 3.0 (standard). One of these will have to be purchased if you want to use HDMI.I would like to say one more thing though and it is about the ventilation of these notebook computers.  If you are using the computer on a couch and don't want to use a table in front of you, to keep adequate ventilation you should put the computer on a computer stand or on some surface which allows ventilation. (A fabric of a couch is not one of them). I use a large sketchbook and it seems to allow ventilation. If you don't allow ventilation the overheating will eventually destroy the internal components of the machine.It's an incredible bargain at 800 dollars. (I bought mine for around 1,000 at Bestbuy)."
B08122HHX9,G. Lipari,1.0 out of 5 stars,DO NOT BUY!! - Lenovo Support and Premium Care Worst in Industry,"Reviewed in the United States on October 8, 2020","DO NOT BUY!! - Lenovo Support and Premium Care Worst in IndustryLenovo Support and Premium Care Worst in Industry - DO Note Care about CustomersI bought a Lenovo Yoga C740 14"" - Mica laptop on July 20, 2020 on about Sept 1st, 2020 the screen cracked and the touchscreen no longer worked. The shutter for camera cracked when we tried to close the shutter and it cracked the screen making 3 full length cracks in the screen.I called support via chat and explained the issue they said they would give me  a replacement and they would call in 2-3 days. I week later I called back, escalated the issue and they said for sure in 2 days they would call. 3 days later called back, escalated the issue a 2nd time. Again assurance someone would call.Waited more than a week and called again! this time asking for a full refund. They said they understood and someone would call me.Waited another week, more than 1 month as passed now with cracked screen. I called support on the phone spent 45 mins on the line being transfered and put on hold to finally get hung up on.I called premium support and again they said they will escalate and someone will call. I asked for supervisor or manager. Waited 10 mins only to tell me they are busy! They would call me. I asked for an exact time and they did not want to give it. Finally had no choice but to wait again.Laptop was bought for my son to do his school work now with a cracked screen which can cut him. I cannot get a refund, replacement or anything. Cannot buy a new one until I get a refund as I cannot afford to buy 2 laptops!!!We are screwed and no one at lenovo wants to help, cares to help or i suspect is even able to help. This is by far the worse support and premium care I have ever experience in my lifetime. They build bad laptops then make it impossible to get it fixed, replaced or get a refund!!!!!!!!!!!!!!!!!!!"
B08122HHX9,Jesse Daner,5.0 out of 5 stars,Smoother than a fat kid in coco butter,"Reviewed in the United States on September 2, 2020",Such amazing laptop only have had it for a lil bit but I am very pleased to start working with this and it's so flawlessly smoothie. Can't get my girlfriend to stop using it!!
B08122HHX9,MIGUEL CEPEDA,5.0 out of 5 stars,Usuario de Ecuador,"Reviewed in the United States on September 24, 2020","100% movilidad. Muy buen rendimiento, solo me que llego algo “picado” el marco de pantalla pero asumo y fue por la manipulación"
B08122HHX9,Jhonathan Rodriguez,5.0 out of 5 stars,Great for Back To School during online only classes,"Reviewed in the United States on August 27, 2020","I have always been a Lenovo fan but my wife on the other had has always had Dell. I hoped to convert her with this Laptop and she loves it. First of all the build quality is amazing since it has an all aluminum body which feels very premium. The screen is awesome at 1080p but do recommend getting a screen protector if you will be using touch since it is glossy and will get finger prints. The one I used was ""Spigen Tempered Glass Screen Protector Designed for Asus Chromebook Flip C434TA"" on amazon which fit it perfectly after reading about someone doing the same.The speakers on this laptop are amazing with Dolby Audio I was amazed at what I was actually hearing! Keyboard is nice and comfortable to type on with feedback just so satisficing. Pairing with Lenovo Active Pen 2 which I bought from amazon really adds value to this laptop when writing notes.If your looking for a mid-range laptop than I really recommend it. 14in is good for someone who wants something light and portable to take from desk to bed.Recommend to anyone"
B08122HHX9,Abhisek,1.0 out of 5 stars,Don't buy Lenovo,"Reviewed in the United States on October 11, 2020","I had to change the review ,As the laptop suddenly stopped working in 2 months of usage and its been more than 15 days , I am trying to get help from Lenovo service center.I have not seen a worst service center response than this.Really really worried as its been 15 days since I am loosing my work."
B08122HHX9,Andrea,5.0 out of 5 stars,Excepcional,"Reviewed in Mexico on October 16, 2020","Excepcional, me encanto, yo que he sido un usuario Mac desde hace 10 años el cambio no fue negativo, incluso es mejor que la Mac actual."
B08122HHX9,elaine lau,5.0 out of 5 stars,Touch screen is nice,"Reviewed in Australia on November 20, 2020",I like the touch screen just like using smart phone.
B08122HHX9,Paola Castillo Sanchez,5.0 out of 5 stars,Práctica y nada pesada,"Reviewed in Mexico on October 7, 2020","Hermosa y delgada , muy práctica !!"
